#::	$Id: nmap-mac-prefixes 4117 2006-11-02 19:46:28Z fyodor $ generated with make-mac-prefixes.pl
#::	Original data comes from http://standards.ieee.org/regauth/oui/oui.txt
#::	These values are known as Organizationally Unique Identifiers (OUIs)
#::	See http://standards.ieee.org/faqs/OUI.html
#::	We have added a few unregistered OUIs at the end.
00:07:3A	Inventel Systemes
00:07:3B	Tenovis GmbH & Co KG
00:07:3C	Telecom Design
00:07:3D	Nanjing Postel Telecommunications Co.
00:07:3E	China Great-Wall Computer Shenzhen Co.
00:07:3F	Woojyun Systec Co.
00:07:40	Melco
00:07:41	Sierra Automated Systems
00:07:42	Current Technologies
00:07:43	Chelsio Communications
00:07:44	Unico
00:07:45	Radlan Computer Communications
00:07:46	Turck
00:07:47	Mecalc
00:07:48	The Imaging Source Europe
00:07:49	CENiX
00:07:4A	Carl Valentin GmbH
00:07:4B	Daihen
00:07:4C	Beicom
00:07:4D	Zebra Technologies
00:07:4E	Naughty boy co.
00:07:4F	Cisco Systems
00:07:50	Cisco Systems
00:07:51	m.u.t. - GmbH
00:07:52	Rhythm Watch Co.
00:07:53	Beijing Qxcomm Technology Co.
00:07:54	Xyterra Computing
00:07:55	Lafon SA
00:07:56	Juyoung Telecom
00:07:57	Topcall International AG
00:07:58	Dragonwave
00:07:59	Boris Manufacturing
00:07:5A	Air Products and Chemicals
00:07:5B	Gibson Guitars
00:07:5C	Eastman Kodak Company
00:07:5D	Celleritas
00:07:5E	Pulsar Technologies
00:07:5F	VCS Video Communication Systems AG
00:07:60	Tomis Information & Telecom
00:07:61	Logitech SA
00:07:62	Group Sense Limited
00:07:63	Sunniwell Cyber Tech. Co.
00:07:64	YoungWoo Telecom Co.
00:07:65	Jade Quantum Technologies
00:07:66	Chou Chin Industrial Co.
00:07:67	Yuxing Electronics Company Limited
00:07:68	Danfoss A/S
00:07:69	Italiana Macchi SpA
00:07:6A	Nexteye Co.
00:07:6B	Stralfors AB
00:07:6C	Daehanet
00:07:6D	Flexlight Networks
00:07:6E	Sinetica Limited
00:07:6F	Synoptics Limited
00:07:70	Locusnetworks
00:07:71	Embedded System
00:07:72	Alcatel Shanghai Bell Co.
00:07:73	Ascom Powerline Communications
00:07:74	GuangZhou Thinker Technology Co.
00:07:75	Valence Semiconductor
00:07:76	Federal APD
00:07:77	Motah
00:07:78	Gerstel Gmbh & Co. KG
00:07:79	Sungil Telecom Co.
00:07:7A	Infoware System Co.
00:07:7B	Millimetrix Broadband Networks
00:07:7C	OnTime Networks
00:07:7E	Elrest GmbH
00:07:7F	J Communications Co.
00:07:80	Bluegiga Technologies OY
00:07:81	Itron
00:07:82	Nauticus Networks
00:07:83	SynCom Network
00:07:84	Cisco Systems
00:07:85	Cisco Systems
00:07:86	Wireless Networks
00:07:87	Idea System Co.
00:07:88	Clipcomm
00:07:89	Eastel Systems
00:07:8A	Mentor Data System
00:07:8B	Wegener Communications
00:07:8C	Elektronikspecialisten i Borlange AB
00:07:8D	NetEngines
00:07:8E	Garz & Friche GmbH
00:07:8F	Emkay Innovative Products
00:07:90	Tri-M Technologies (s) Limited
00:07:91	International Data Communications
00:07:92	Suetron Electronic GmbH
00:07:93	Shin Satellite Public Company Limited
00:07:94	Simple Devices
00:07:95	Elitegroup Computer System Co. (ECS)
00:07:96	LSI Systems
00:07:97	Netpower Co.
00:07:98	Selea SRL
00:07:99	Tipping Point Technologies
00:07:9A	SmartSight Networks
00:07:9B	Aurora Networks
00:07:9C	Golden Electronics Technology Co.
00:07:9D	Musashi Co.
00:07:9E	Ilinx Co.
00:07:9F	Action Digital
00:07:A0	e-Watch
00:07:A1	Viasys Healthcare Gmbh
00:07:A2	Opteon
00:07:A3	Ositis Software
00:07:A4	GN Netcom
00:07:A5	Y.D.K Co.
00:07:A6	Home Automation
00:07:A7	A-Z
00:07:A8	Haier Group Technologies
00:07:A9	Novasonics
00:07:AA	Quantum Data
00:07:AC	Eolring
00:07:AD	Pentacon GmbH Foto-und Feinwerktechnik
00:07:AE	Britestream Networks
00:07:AF	N-Tron
00:07:B0	Office Details
00:07:B1	Equator Technologies
00:07:B2	Transaccess S.A.
00:07:B3	Cisco Systems
00:07:B4	Cisco Systems
00:07:B5	Any One Wireless
00:07:B6	Telecom Technology
00:07:B7	Samurai Ind. Prods Eletronicos Ltda
00:07:B8	American Predator
00:07:B9	Ginganet
00:07:BA	UTStarcom
00:07:BB	Candera
00:07:BC	Identix
00:07:BD	Radionet
00:07:BE	DataLogic SpA
00:07:BF	Armillaire Technologies
00:07:C0	NetZerver
00:07:C1	Overture Networks
00:07:C2	Netsys Telecom
00:07:C3	Cirpack
00:07:C4	Jean Co.
00:07:C5	Gcom
00:07:C6	VDS Vosskuhler GmbH
00:07:C7	Synectics Systems Limited
00:07:C8	Brain21
00:07:C9	Technol Seven Co.
00:07:CA	Creatix Polymedia Ges Fur Kommunikaitonssysteme
00:07:CB	Freebox SA
00:07:CC	Kaba Benzing GmbH
00:07:CD	Nmtel Co.
00:07:CE	Cabletime Limited
00:07:CF	Anoto AB
00:07:D0	Automat Engenharia de Automaoa Ltda.
00:07:D1	Spectrum Signal Processing
00:07:D2	Logopak Systeme
00:07:D3	Stork Digital Imaging B.V.
00:07:D4	Zhejiang Yutong Network Communication Co
00:07:D5	3e Technologies Int;.
00:07:D6	Commil
00:07:D7	Caporis Networks AG
00:07:D8	Hitron Systems
00:07:D9	Splicecom
00:07:DA	Neuro Telecom Co.
00:07:DB	Kirana Networks
00:07:DC	Atek Co
00:07:DD	Cradle Technologies
00:07:DE	eCopilt AB
00:07:DF	Vbrick Systems
00:07:E0	Palm
00:07:E1	WIS Communications Co.
00:07:E2	Bitworks
00:07:E3	Navcom Technology
00:07:E4	SoftRadio Co.
00:07:E5	Coup
00:07:E6	edgeflow Canada
00:07:E7	FreeWave Technologies
00:07:E8	St. Bernard Software
00:07:E9	Intel
00:07:EA	Massana
00:07:EB	Cisco Systems
00:07:EC	Cisco Systems
00:07:ED	Altera
00:07:EE	telco Informationssysteme GmbH
00:07:EF	Lockheed Martin Tactical Systems
00:07:F0	LogiSync
00:07:F1	TeraBurst Networks
00:07:F2	IOA
00:07:F3	Thinkengine Networks
00:07:F4	Eletex Co.
00:07:F5	Bridgeco Co AG
00:07:F6	Qqest Software Systems
00:07:F7	Galtronics
00:07:F8	ITDevices
00:07:F9	Phonetics
00:07:FA	ITT Co.
00:07:FB	Giga Stream Umts Technologies Gmbh
00:07:FC	Adept Systems
00:07:FD	LANergy
00:07:FE	Rigaku
00:07:FF	Gluon Networks
00:08:00	Multitech Systems
00:08:01	HighSpeed Surfing
00:08:02	Compaq Computer
00:08:03	Cos Tron
00:08:04	ICA
00:08:05	Techno-Holon
00:08:06	Raonet Systems
00:08:07	Access Devices Limited
00:08:08	PPT Vision
00:08:09	Systemonic AG
00:08:0A	Espera-Werke GmbH
00:08:0B	Birka BPA Informationssystem AB
00:08:0C	VDA elettronica SrL
00:08:0D	Toshiba
00:08:0E	Motorola
00:08:0F	Proximion Fiber Optics AB
00:08:10	Key Technology
00:08:11	Voix
00:08:12	GM-2
00:08:13	Diskbank
00:08:14	TIL Technologies
00:08:15	Cats Co.
00:08:16	Bluetags A/S
00:08:17	EmergeCore Networks
00:08:18	Pixelworks
00:08:19	Banksys
00:08:1A	Sanrad Intelligence Storage Communications (2000)
00:08:1B	Windigo Systems
00:08:1C	@pos.com
00:08:1D	Ipsil, Incorporated
00:08:1E	Repeatit AB
00:08:1F	Pou Yuen Tech
00:08:20	Cisco Systems
00:08:21	Cisco Systems
00:08:22	InPro Comm
00:08:23	Texa
00:08:24	Promatek Industries
00:08:25	Acme Packet
00:08:26	Colorado Med Tech
00:08:27	Pirelli Broadband Solutions
00:08:28	Koei Engineering
00:08:29	Aval Nagasaki
00:08:2A	Powerwallz Network Security
00:08:2B	Wooksung Electronics
00:08:2C	Homag AG
00:08:2D	Indus Teqsite Private Limited
00:08:2E	Multitone Electronics PLC
00:08:4E	DivergeNet
00:08:4F	Qualstar
00:08:50	Arizona Instrument
00:08:51	Canadian Bank Note Company
00:08:52	Davolink Co.
00:08:53	Schleicher GmbH & Co. Relaiswerke KG
00:08:54	Netronix
00:08:55	Nasa-goddard Space Flight Center
00:08:56	Gamatronic Electronic Industries
00:08:57	Polaris Networks
00:08:58	Novatechnology
00:08:59	ShenZhen Unitone Electronics Co.
00:08:5A	IntiGate
00:08:5B	Hanbit Electronics Co.
00:08:5C	Shanghai Dare Technologies Co.
00:08:5D	Aastra
00:08:5E	PCO AG
00:08:5F	Picanol N.V.
00:08:60	LodgeNet Entertainment
00:08:61	SoftEnergy Co.
00:08:62	NEC Eluminant Technologies
00:08:63	Entrisphere
00:08:64	Fasy S.p.A.
00:08:65	Jascom CO.
00:08:66	DSX Access Systems
00:08:67	Uptime Devices
00:08:68	PurOptix
00:08:69	Command-e Technology Co.
00:08:6A	Industrie Technik IPS GmbH
00:08:6B	Mipsys
00:08:6C	Plasmon LMS
00:08:6D	Missouri FreeNet
00:08:6E	Hyglo AB
00:08:6F	Resources Computer Network
00:08:70	Rasvia Systems
00:08:71	Northdata Co.
00:08:72	Sorenson Technologies
00:08:73	DAP Design B.V.
00:08:74	Dell Computer
00:08:75	Acorp Electronics
00:08:76	SDSystem
00:08:77	Liebert Hiross S.p.a.
00:08:78	Benchmark Storage Innovations
00:08:79	CEM
00:08:7A	Wipotec GmbH
00:08:7B	RTX Telecom A/S
00:08:7C	Cisco Systems
00:08:7D	Cisco Systems
00:08:7E	Bon Electro-Telecom
00:08:7F	Spaun Electronic Gmbh & Co. KG
00:08:80	BroadTel Canada Communications
00:08:81	Digital Hands Co.
00:08:82	Sigma
00:08:83	Hewlett-Packard Company
00:08:84	Index Braille AB
00:08:85	EMS Dr. Thomas Wuensche
00:08:86	Hansung Teliann
00:08:87	Maschinenfabrik Reinhausen GmbH
00:08:88	Oullim Information Technology
00:08:89	Echostar Technologies
00:08:8A	Minds@Work
00:08:8B	Tropic Networks
00:08:8C	Quanta Network Systems
00:08:8D	Sigma-Links
00:08:8E	Nihon Computer Co.
00:08:8F	Advanced Digital Technology
00:08:90	Avilinks SA
00:08:91	Lyan
00:08:92	EM Solutions
00:08:93	LE Information Communication
00:08:94	InnoVISION Multimedia
00:08:95	Dirc Technologie Gmbh &KG
00:08:96	Printronix
00:08:97	Quake Technologies
00:08:98	Gigabit Optics
00:08:99	Netbind
00:08:9A	Alcatel Microelectronics
00:08:9B	ICP Electronics
00:08:9C	Elecs Industry Co.
00:08:9D	UHD-Elektronik
00:08:9E	Beijing Enter-NetLTD
00:08:9F	EFM Networks
00:08:A0	Stotz Feinmesstechnik GmbH
00:08:A1	CNet Technology
00:08:A2	ADI Engineering
00:08:A3	Cisco Systems
00:08:A4	Cisco Systems
00:08:A5	Peninsula Systems
00:08:A6	Multiware & Image Co.
00:08:A7	iLogic
00:08:A8	Systec Co.
00:08:A9	SangSang Technology
00:08:AA	Karam
00:08:AB	EnerLinx.com
00:08:AC	Private
00:08:AD	Toyo-Linx Co.
00:08:AE	PacketFront Sweden AB
00:08:AF	Novatec
00:08:B0	BKtel communications GmbH
00:08:B1	ProQuent Systems
00:08:B2	Shenzhen Compass Technology Development Co.
00:08:B3	Fastwel
00:08:B4	Syspol
00:08:B5	TAI Guen Enterprise CO.
00:08:B6	RouteFree
00:08:B7	HIT Incorporated
00:08:B8	E.F. Johnson
00:08:B9	Kaon Media Co.
00:08:BA	Erskine Systems
00:08:BB	NetExcell
00:08:BC	Ilevo AB
00:08:BD	Tepg-us
00:08:BE	Xenpak MSA Group
00:08:BF	Aptus Elektronik AB
00:08:C0	ASA Systems
00:08:C1	Avistar Communications
00:08:C2	Cisco Systems
00:08:C3	Contex A/S
00:08:C4	Hikari Co.
00:08:C5	Liontech Co.
00:08:C6	Philips Consumer Communications
00:08:C7	Compaq Computer
00:08:C8	Soneticom
00:08:C9	TechniSat Digital GmbH
00:08:CA	TwinHan Technology Co.
00:08:CB	Zeta Broadband
00:08:CC	Remotec
00:08:CD	With-Net
00:08:CE	IPMobileNet
00:08:CF	Nippon Koei Power Systems Co.
00:08:D0	Musashi Engineering Co.
00:08:D1	Karel
00:08:D2	Zoom Networks
00:08:D3	Hercules Technologies S.A.
00:08:D4	IneoQuest Technologies
00:08:D5	Vanguard Managed Solutions
00:08:D6	Hassnet
00:08:D7	HOW
00:08:D8	Dowkey Microwave
00:08:D9	Mitadenshi Co.
00:08:DA	SofaWare Technologies
00:08:DB	Corrigent Systems
00:08:DC	Wiznet
00:08:DD	Telena Communications
00:08:DE	3UP Systems
00:08:DF	Alistel
00:08:E0	ATO Technology
00:08:E1	Barix AG
00:08:E2	Cisco Systems
00:08:E3	Cisco Systems
00:08:E4	Envenergy
00:08:E5	IDK
00:08:E6	Littlefeet
00:08:E7	SHI ControlSystems
00:08:E8	Excel Master
00:08:E9	NextGig
00:08:EA	Motion Control Engineering
00:08:EB	Romwin Co.
00:08:EC	Zonu
00:08:ED	ST&T Instrument
00:08:EE	Logic Product Development
00:08:EF	Dibal
00:08:F0	Next Generation Systems
00:08:F1	Voltaire
00:08:F2	C&S Technology
00:08:F3	Wany
00:08:F4	Bluetake Technology Co.
00:08:F5	Yestechnology Co.
00:08:F6	Sumitomo Electric Hightechs.co.
00:08:F7	Hitachi, Semiconductor &amp; Integrated Circuits Gr
00:08:F8	Guardall
00:08:F9	Padcom
00:08:FA	Karl E.Brinkmann GmbH
00:08:FB	SonoSite
00:08:FC	Gigaphoton
00:08:FD	BlueKorea Co.
00:08:FE	Unik C&C Co.
00:08:FF	Trilogy Broadcast (Holdings)
00:09:00	TMT
00:09:01	Shenzhen Shixuntong Information & Technoligy Co
00:09:02	Redline Communications
00:09:03	Panasas
00:09:04	Mondial Electronic
00:09:05	iTEC Technologies
00:09:06	Esteem Networks
00:09:07	Chrysalis Development
00:09:08	VTech Technology
00:09:09	Telenor Connect A/S
00:09:0A	SnedFar Technology Co.
00:09:0B	MTL  Instruments PLC
00:09:0C	Mayekawa Mfg. Co.
00:09:0D	Leader Electronics
00:09:0E	Helix Technology
00:09:0F	Fortinet
00:09:10	Simple Access
00:09:11	Cisco Systems
00:09:12	Cisco Systems
00:09:13	SystemK
00:09:14	Computrols
00:09:15	CAS
00:09:16	Listman Home Technologies
00:09:17	WEM Technology
00:09:18	Samsung Techwin Co.
00:09:19	MDS Gateways
00:09:1A	Macat Optics & Electronics Co.
00:09:1B	Digital Generation
00:09:1C	CacheVision
00:09:1D	Proteam Computer
00:09:1E	Firstech Technology
00:09:1F	A&amp;D Co.
00:09:20	Epox Computer Co.
00:09:21	Planmeca Oy
00:09:22	Touchless Sensor Technology AG
00:09:23	Heaman System Co.
00:09:24	Telebau GmbH
00:09:25	VSN Systemen BV
00:09:26	Yoda Communications
00:09:27	Toyokeiki Co.
00:09:28	Telecore
00:09:29	Sanyo Industries (UK) Limited
00:09:2A	Mytecs Co.
00:09:2B	iQstor Networks
00:09:2C	Hitpoint
00:09:2D	High Tech Computer
00:09:2E	B&Tech System
00:09:2F	Akom Technology
00:09:30	AeroConcierge
00:09:31	Future Internet
00:09:32	Omnilux
00:09:33	Optovalley Co.
00:09:34	Dream-Multimedia-Tv GmbH
00:09:35	Sandvine Incorporated
00:09:36	Ipetronik GmbH &KG
00:09:37	Inventec Appliance
00:09:38	Allot Communications
00:09:39	ShibaSoku Co.
00:09:3A	Molex Fiber Optics
00:09:3B	Hyundai Networks
00:09:3C	Jacques Technologies P/L
00:09:3D	Newisys
00:09:3E	C&I Technologies
00:09:3F	Double-Win Enterpirse CO.
00:09:40	Agfeo Gmbh & Co. KG
00:09:41	Allied Telesis K.K.
00:09:42	Cresco
00:09:43	Cisco Systems
00:09:44	Cisco Systems
00:09:45	Palmmicro Communications
00:09:46	Cluster Labs GmbH
00:09:47	Aztek
00:09:48	Vista Control Systems
00:09:49	Glyph Technologies
00:09:4A	Homenet Communications
00:09:4B	FillFactory NV
00:09:4C	Communication Weaver Co.
00:09:4D	Braintree Communications
00:09:4E	Bartech Systems International
00:09:4F	elmegt GmbH & Co. KG
00:09:50	Independent Storage
00:09:51	Apogee Instruments
00:09:52	Auerswald GmbH & Co. KG
00:09:53	Linkage System IntegrationLtd.
00:09:54	AMiT spol. s. r. o.
00:09:55	Young Generation International
00:09:56	Network Systems Group, (NSG)
00:09:57	Supercaller
00:09:58	Intelnet S.A.
00:09:59	Sitecsoft
00:09:5A	Racewood Technology
00:09:5B	Netgear
00:09:5C	Philips Medical Systems - Cardiac and Monitoring Systems (CM
00:09:5D	Dialogue Technology
00:09:5E	Masstech Group
00:09:5F	Telebyte
00:09:60	Yozan
00:09:61	Switchgear and Instrumentation
00:09:62	Filetrac AS
00:09:63	Dominion Lasercom
00:09:64	Hi-Techniques
00:09:65	Private
00:09:66	Thales Navigation
00:09:67	Tachyon
00:09:68	Technoventure
00:09:69	Meret Optical Communications
00:09:6A	Cloverleaf Communications
00:09:6B	IBM
00:09:6C	Imedia Semiconductor
00:09:6D	Powernet Technologies
00:09:6E	Giant Electronics
00:09:6F	Beijing Zhongqing Elegant Tech.,Limited
00:09:70	Vibration Research
00:09:71	Time Management
00:09:72	Securebase
00:09:73	Lenten Technology Co.
00:09:74	Innopia Technologies
00:09:75	fSONA Communications
00:09:76	Datasoft Isdn Systems Gmbh
00:09:77	Brunner Elektronik AG
00:09:78	Aiji System Co.
00:09:79	Advanced Television Systems Committee
00:09:7A	Louis Design Labs.
00:09:7B	Cisco Systems
00:09:7C	Cisco Systems
00:09:7D	SecWell Networks Oy
00:09:7E	IMI Technology CO.
00:09:7F	Vsecure 2000
00:09:80	Power Zenith
00:09:81	Newport Networks
00:09:82	Loewe Opta GmbH
00:09:83	Gvision Incorporated
00:09:84	MyCasa Network
00:09:85	Auto Telecom Company
00:09:86	Metalink
00:09:87	Nishi Nippon Electric Wire & Cable Co.
00:09:88	Nudian Electron Co.
00:09:89	VividLogic
00:09:8A	EqualLogic
00:09:8B	Entropic Communications
00:09:8C	Option Wireless Sweden
00:09:8D	DCT (Digital Communication Technologies)
00:09:8E	ipcas GmbH
00:09:8F	Cetacean Networks
00:09:90	Acksys Communications & Systems
00:09:91	GE Fanuc Automation Manufacturing
00:09:92	InterEpoch Technology
00:09:93	Visteon
00:09:94	Cronyx Engineering
00:09:95	Castle Technology
00:09:96	RDI
00:09:97	Nortel Networks
00:09:98	Capinfo Company Limited
00:09:99	CP Georges Renault
00:09:9A	Elmo Company, Limited
00:09:9B	Western Telematic
00:09:9C	Naval Research Laboratory
00:09:9D	Haliplex Communications
00:09:9E	Testech
00:09:9F	Videx
00:09:A0	Microtechno
00:09:A1	Telewise Communications
00:09:A2	Interface Co.
00:09:A3	Leadfly Techologies
00:09:A4	Hartec
00:09:A5	Hansung Eletronic Industries Development CO.
00:09:A6	Ignis Optics
00:09:A7	Bang & Olufsen A/S
00:09:A8	Eastmode Pte
00:09:A9	Ikanos Communications
00:09:AA	Data Comm for Business
00:09:AB	Netcontrol Oy
00:09:AC	Lanvoice
00:09:AD	Hyundai Syscomm
00:09:AE	Okano Electric Co.
00:09:AF	e-generis
00:09:B0	Onkyo
00:09:B1	Kanematsu Electronics
00:09:B2	L&F
00:09:B3	MCM Systems
00:09:B4	Kisan Telecom CO.
00:09:B5	3J Tech. Co.
00:09:B6	Cisco Systems
00:09:B7	Cisco Systems
00:09:B8	Entise Systems
00:09:B9	Action Imaging Solutions
00:09:BA	Maku Informationstechik Gmbh
00:09:BB	MathStar
00:09:BC	Integrian
00:09:BD	Epygi Technologies
00:09:BE	Mamiya-OP Co.
00:09:BF	Nintendo Co.
00:09:C0	6wind
00:09:C1	Proces-data A/S
00:09:C2	Private
00:09:C3	Netas
00:09:C4	Medicore Co.
00:09:C5	Kingene Technology
00:09:C6	Visionics
00:09:C7	Movistec
00:09:C8	Sinagawa Tsushin Keisou Service
00:09:C9	BlueWINC Co.
00:09:CA	iMaxNetworks(Shenzhen)Limited.
00:09:CB	HBrain
00:09:CC	Moog GmbH
00:09:CD	Hudson Soft Co.
00:09:CE	SpaceBridge Semiconductor
00:09:CF	iAd GmbH
00:09:D0	Versatel Networks
00:09:D1	Seranoa Networks
00:09:D2	Mai Logic
00:09:D3	Western DataCom Co.
00:09:D4	Transtech Networks
00:09:D5	Signal Communication
00:09:D6	KNC One GmbH
00:09:D7	DC Security Products
00:09:D8	Private
00:09:D9	Neoscale Systems
00:09:DA	Control Module
00:09:DB	eSpace
00:09:DC	Galaxis Technology AG
00:09:DD	Mavin Technology
00:09:DE	Samjin Information & Communications Co.
00:09:DF	Vestel Komunikasyon Sanayi ve Ticaret A.S.
00:09:E0	Xemics S.A.
00:09:E1	Gemtek Technology Co.
00:09:E2	Sinbon Electronics Co.
00:09:E3	Angel Iglesias S.A.
00:09:E4	K Tech Infosystem
00:09:E5	Hottinger Baldwin Messtechnik GmbH
00:09:E6	Cyber Switching
00:09:E7	ADC Techonology
00:09:E8	Cisco Systems
00:09:E9	Cisco Systems
00:09:EA	YEM
00:09:EB	HuMANDATA
00:09:EC	Daktronics
00:09:ED	CipherOptics
00:09:EE	Meikyo Electric Co.
00:09:EF	Vocera Communications
00:09:F0	Shimizu Technology
00:09:F1	Yamaki Electric
00:09:F2	Cohu,, Electronics Division
00:09:F3	Well Communication
00:09:F4	Alcon Laboratories
00:09:F5	Emerson Network Power Co.
00:09:F6	Shenzhen Eastern Digital Tech
00:09:F7	SED, a division of Calian
00:09:F8	Unimo Technology CO.
00:09:F9	ART Japan CO.
00:09:FB	Philips Medizinsysteme Boeblingen GmbH
00:09:FC	Ipflex
00:09:FD	Ubinetics Limited
00:09:FE	Daisy Technologies
00:09:FF	X.net 2000 GmbH
00:0A:00	Mediatek
00:0A:01	Sohoware
00:0A:02	Annso CO.
00:0A:03	Endesa Servicios
00:0A:04	3Com Europe
00:0A:05	Widax
00:0A:06	Teledex
00:0A:07	WebWayOne
00:0A:08	Alpine Electronics
00:0A:09	TaraCom Integrated Products
00:0A:0A	Sunix Co.
00:0A:0B	Sealevel Systems
00:0A:0C	Scientific Research
00:0A:0D	MergeOptics GmbH
00:0A:0E	Invivo Research
00:0A:0F	Ilryung Telesys
00:0A:10	Fast Media Integrations AG
00:0A:11	ExPet Technologies
00:0A:12	Azylex Technology
00:0A:13	Silent Witness
00:0A:14	Teco a.s.
00:0A:15	Silicon Data
00:0A:16	Lassen Research
00:0A:17	Nestar Communications
00:0A:18	Vichel
00:0A:19	Valere Power
00:0A:1A	Imerge
00:0A:1B	Stream Labs
00:0A:1C	Bridge Information Co.
00:0A:1D	Optical Communications Products
00:0A:1E	Red-M Products Limited
00:0A:1F	ART Ware Telecommunication Co.
00:0A:20	SVA Networks
00:0A:21	Integra Telecom Co.
00:0A:22	Amperion
00:0A:23	Parama Networks
00:0A:24	Octave Communications
00:0A:25	Ceragon Networks
00:0A:26	Ceia S.p.a.
00:0A:27	Apple Computer
00:0A:28	Motorola
00:0A:29	Pan Dacom Networking AG
00:0A:2A	QSI Systems
00:0A:2B	Etherstuff
00:0A:2C	Active Tchnology
00:0A:2D	Private
00:0A:2E	Maple Networks CO.
00:0A:2F	Artnix
00:0A:30	Johnson Controls-ASG
00:0A:31	HCV Wireless
00:0A:32	Xsido
00:0A:33	Sierra Logic
00:0A:34	Identicard Systems Incorporated
00:0A:35	Xilinx
00:0A:36	Synelec Telecom Multimedia
00:0A:37	Procera Networks
00:0A:38	Netlock Technologies
00:0A:39	LoPA Information Technology
00:0A:3A	J-three International Holding Co.
00:0A:3B	GCT Semiconductor
00:0A:3C	Enerpoint
00:0A:3D	Elo Sistemas Eletronicos S.A.
00:0A:3E	Eads Telecom
00:0A:3F	Data East
00:0A:40	Crown Audio
00:0A:41	Cisco Systems
00:0A:42	Cisco Systems
00:0A:43	Chunghwa Telecom Co.
00:0A:44	Avery Dennison Deutschland GmbH
00:0A:45	Audio-Technica
00:0A:46	ARO Controls SAS
00:0A:47	Allied Vision Technologies
00:0A:48	Albatron Technology
00:0A:49	Acopia Networks
00:0A:4A	Targa Systems
00:0A:4B	DataPower Technology
00:0A:4C	Molecular Devices
00:0A:4D	Noritz
00:0A:4E	Unitek Electronics
00:0A:4F	Brain Boxes Limited
00:0A:50	Remotek
00:0A:51	GyroSignal Technology Co.
00:0A:52	AsiaRF
00:0A:53	Intronics, Incorporated
00:0A:54	Laguna Hills
00:0A:55	Markem
00:0A:56	Hitachi Maxell
00:0A:57	Hewlett-Packard Company - Standards
00:0A:58	Ingenieur-Buero Freyer & Siegel
00:0A:59	HW server
00:0A:5A	GreenNET Technologies Co.
00:0A:5B	Power-One as
00:0A:5C	Carel s.p.a.
00:0A:5D	PUC Founder (MSC) Berhad
00:0A:5E	3COM
00:0A:5F	almedio
00:0A:60	Autostar Technology Pte
00:0A:61	Cellinx Systems
00:0A:62	Crinis Networks
00:0A:63	DHD GmbH
00:0A:64	Eracom Technologies
00:0A:65	GentechMedia.co.
00:0A:66	Mitsubishi Electric System & Service Co.
00:0A:67	OngCorp
00:0A:68	SolarFlare Communications
00:0A:69	Sunny Bell Technology Co.
00:0A:6A	SVM Microwaves s.r.o.
00:0A:6B	Tadiran Telecom Business Systems
00:0A:6C	Walchem
00:0A:6D	EKS Elektronikservice GmbH
00:0A:6E	Broadcast Technology Limited
00:0A:6F	ZyFLEX Technologies
00:0A:70	Mpls Forum
00:0A:71	Avrio Technologies
00:0A:72	SimpleTech
00:0A:73	Scientific Atlanta
00:0A:74	Manticom Networks
00:0A:75	Cat Electronics
00:0A:76	Beida Jade Bird Huaguang Technology Co.
00:0A:77	Bluewire Technologies
00:0A:78	Olitec
00:0A:79	corega K.K.
00:0A:7A	Kyoritsu Electric Co.
00:0A:7B	Cornelius Consult
00:0A:7C	Tecton
00:0A:7D	Valo
00:0A:7E	The Advantage Group
00:0A:7F	Teradon Industries
00:0A:80	Telkonet
00:0A:81	Teima Audiotex S.L.
00:0A:82	Tatsuta System Electronics Co.
00:0A:83	Salto Systems S.L.
00:0A:84	Rainsun Enterprise Co.
00:0A:85	Plat'c2
00:0A:86	Lenze
00:0A:87	Integrated Micromachines
00:0A:88	InCypher S.A.
00:0A:89	Creval Systems
00:0A:8A	Cisco Systems
00:0A:8B	Cisco Systems
00:0A:8C	Guardware Systems
00:0A:8D	Eurotherm Limited
00:0A:8E	Invacom
00:0A:8F	Aska International
00:0A:90	Bayside Interactive
00:0A:91	HemoCue AB
00:0A:92	Presonus
00:0A:93	W2 Networks
00:0A:94	ShangHai cellink CO.
00:0A:95	Apple Computer
00:0A:96	Mewtel Technology
00:0A:97	Sonicblue
00:0A:98	M+F Gwinner GmbH & Co
00:0A:99	Dataradio
00:0A:9A	Aiptek International
00:0A:9B	Towa Meccs
00:0A:9C	Server Technology
00:0A:9D	King Young Technology Co.
00:0A:9E	BroadWeb Corportation
00:0A:9F	Pannaway Technologies
00:0A:A0	Cedar Point Communications
00:0A:A1	V V S Limited
00:0A:A2	Systek
00:0A:A3	Shimafuji Electric Co.
00:0A:A4	Shanghai Surveillance Technology Co
00:0A:A5	Maxlink Industries Limited
00:0A:A6	Hochiki
00:0A:A7	FEI Company
00:0A:A8	ePipe
00:0A:A9	Brooks Automation GmbH
00:0A:AA	AltiGen Communications
00:0A:AB	Toyota MACS
00:0A:AC	TerraTec Electronic GmbH
00:0A:AD	Stargames
00:0A:AE	Rosemount Process Analytical
00:0A:AF	Pipal Systems
00:0A:B0	Loytec Electronics Gmbh
00:0A:B1	Genetec
00:0A:B2	Fresnel Wireless Systems
00:0A:B3	Fa. Gira
00:0A:B4	Etic Telecommunications
00:0A:B5	Digital Electronic Network
00:0A:B6	Compunetix
00:0A:B7	Cisco Systems
00:0A:B8	Cisco Systems
00:0A:B9	Astera Technologies
